date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:04	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/servicos.html	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/servicos.0.delayed	(from )
20:15:05	21535/21535	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/index.html	(from )
20:15:05	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/equipe.html	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/equipe.2.delayed	(from )
20:15:05	12613/12613	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/servicos	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/servicos.html	(from )
20:15:05	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/empresa.html	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/empresa.html	(from )
20:15:05	12609/12609	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/equipe	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/equipe.html	(from )
20:15:05	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2016%20Feb%202026%2023:15:10%20GMT	https://atuscontabeis.com.br/documentos.html	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/documentos.html	(from )
20:15:05	12614/12614	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:11%20GMT	https://atuscontabeis.com.br/empresa	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/empresa.html	(from )
20:15:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2016%20Feb%202026%2023:15:11%20GMT	https://atuscontabeis.com.br/contato.html	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/contato.html	(from )
20:15:06	12617/12617	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:11%20GMT	https://atuscontabeis.com.br/documentos	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/documentos.html	(from )
20:15:06	8821/8821	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:11%20GMT	https://atuscontabeis.com.br/robots.txt		(from )
20:15:06	12611/12611	U--MCZ	200	updated ('OK')	text/html	date:Mon,%2016%20Feb%202026%2023:15:11%20GMT	https://atuscontabeis.com.br/contato	C:/Meus%20Sites/Atus%20Contabeis/atuscontabeis.com.br/contato.html	(from )
20:15:48	232803/232803	U-----	200	untouched ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/Meus%20Sites/Atus%20Contabeis/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://atuscontabeis.com.br/)
